run_number	pmt_id	pedestal	gain
100049	0	5821.650	6135.900
100049	1	5777.260	6101.000
100049	2	6364.410	6677.160
100049	3	3785.420	4098.650
100049	4	6255.100	6597.550
100049	5	4090.080	4461.640
100049	6	5615.800	5887.760
100049	7	3714.550	4046.490
100049	8	6003.880	6286.030
100049	9	4929.440	5005.320
100047	0	5815.630	6123.840
100047	1	5759.640	6073.860
100047	2	6349.290	6672.960
100047	3	3778.150	4082.670
100047	4	6251.070	6592.330
100047	5	4085.690	4474.830
100047	6	5610.620	5897.330
100047	7	3698.810	4017.710
100047	8	5999.560	6311.820
100047	9	4917.870	5171.750
100048	0	5804.340	6106.120
100048	1	5759.120	6096.760
100048	2	6347.810	6668.180
100048	3	3773.340	4083.730
100048	4	6249.300	6598.590
100048	5	4088.030	4460.520
100048	6	5606.980	5874.400
100048	7	3697.170	4008.260
100048	8	6000.330	6308.050
100048	9	4911.840	5089.100
100051	0	5807.300	6113.160
100051	1	5763.060	6082.360
100051	2	6358.160	6671.840
100051	3	3774.820	4081.800
100051	4	6245.640	6587.700
100051	5	4081.860	4475.630
100051	6	5600.560	5863.730
100051	7	3695.860	4002.480
100051	8	5998.940	6313.200
100051	9	4899.350	5160.810
100052	0	5820.300	6144.340
100052	1	5767.680	6089.400
100052	2	6358.580	6682.250
100052	3	3775.890	4094.680
100052	4	6252.980	6601.450
100052	5	4089.760	4485.150
100052	6	5615.040	5902.280
100052	7	3707.720	4030.960
100052	8	6000.650	6271.620
100052	9	4918.750	5224.790
100053	0	5816.730	6112.860
100053	1	5771.120	6085.660
100053	2	6367.550	6693.180
100053	3	3773.020	4085.580
100053	4	6254.130	6596.700
100053	5	4092.720	4460.370
100053	6	5612.560	5893.780
100053	7	3711.490	4038.400
100053	8	6002.570	6299.030
100053	9	4924.560	5188.820
100057	0	5797.860	6128.730
100057	1	5751.440	6061.590
100057	2	6358.590	6687.090
100057	3	3761.900	4111.350
100057	4	6238.030	6573.610
100057	5	4072.700	4500.930
100057	6	5592.950	5867.090
100057	7	3675.740	3971.100
100057	8	6002.210	6307.990
100057	9	4879.970	5183.180
100058	0	5815.670	6144.550
100058	1	5770.990	6082.990
100058	2	6368.350	6686.650
100058	3	3776.430	4087.700
100058	4	6249.880	6591.590
100058	5	4088.010	4476.500
100058	6	5610.140	5870.460
100058	7	3700.470	4009.650
100058	8	5998.580	6285.200
100058	9	4911.910	5172.370
100059	0	5823.970	6143.290
100059	1	5773.110	6084.910
100059	2	6364.650	6683.370
100059	3	3778.250	4081.130
100059	4	6253.620	6592.840
100059	5	4094.240	4464.670
100059	6	5617.700	5875.480
100059	7	3702.720	4016.210
100059	8	6004.120	6261.550
100059	9	4920.620	5196.940
100060	0	5820.150	6127.430
100060	1	5773.000	6094.960
100060	2	6370.550	6699.350
100060	3	3780.860	4089.400
100060	4	6257.570	6604.200
100060	5	4093.750	4498.320
100060	6	5618.750	5889.600
100060	7	3720.140	4042.090
100060	8	6016.670	6303.810
100060	9	4929.660	5199.370
100061	0	5807.510	6120.730
100061	1	5756.730	6073.840
100061	2	6358.150	6670.660
100061	3	3768.580	4068.680
100061	4	6243.710	6585.370
100061	5	4079.310	4464.190
100061	6	5594.650	5877.230
100061	7	3690.540	4029.530
100061	8	6004.190	6266.840
100061	9	4897.580	3095.870
100062	0	5813.750	6143.610
100062	1	5771.930	6090.380
100062	2	6364.210	6688.460
100062	3	3771.400	4089.620
100062	4	6262.230	6602.710
100062	5	4098.040	4497.740
100062	6	5610.150	5881.750
100062	7	3710.550	4015.150
100062	8	6008.940	6293.970
100062	9	4925.290	4929.690
100063	0	5818.260	6116.480
100063	1	5766.950	6085.270
100063	2	6363.970	6687.410
100063	3	3775.240	4089.420
